Sex_Code_Text,Ethnic_Code_Text,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,YearOfBirth,Score
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1992,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1992,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1992,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,1984,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,1984,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,1984,0
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1994,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1994,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1994,0
Female,African-American,English,Pretrial,Jail Inmate,Significant Other,2,1994,1
Female,African-American,English,Pretrial,Jail Inmate,Significant Other,2,1994,1
Female,African-American,English,Pretrial,Jail Inmate,Significant Other,2,1994,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1985,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1985,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1985,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,3,1984,1
Male,Hispanic,English,Pretrial,Jail Inmate,Single,3,1984,2
Male,Hispanic,English,Pretrial,Jail Inmate,Single,3,1984,1
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,2066,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,2066,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,2066,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1993,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1993,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1993,0
Male,Other Race,English,Pretrial,Jail Inmate,Married,1,1972,0
Male,Other Race,English,Pretrial,Jail Inmate,Married,1,1972,0
Male,Other Race,English,Pretrial,Jail Inmate,Married,1,1972,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1986,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1986,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1986,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1993,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1993,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1993,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1980,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1980,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1980,0
Female,Caucasian,English,Pretrial,Jail Inmate,Married,1,1978,0
Female,Caucasian,English,Pretrial,Jail Inmate,Married,1,1978,0
Female,Caucasian,English,Pretrial,Jail Inmate,Married,1,1978,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1988,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1988,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1988,0
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1979,0
